,submarket_name,cbsaid,building_rating_id,Density,Rent,Revenue,rating_bin,Rent_bin
4607,Keystone Crossing,26900.0,3,38,20.739825,788.11335,Medium,Medium Quality Expensive
4613,Killeen-Temple,28660.0,3,1,21.305095795670976,21.305095795670976,Medium,Medium Quality Expensive
4615,King William County,40060.0,3,1,16.72801,16.72801,Medium,Medium Quality Less Expensive
4617,King of Prussia/Wayne,37980.0,3,91,26.289502,2392.344682,Medium,Medium Quality Expensive
4635,Kirkland,42660.0,3,42,38.688787,1624.929054,Medium,Medium Quality Expensive
4662,Kruse Way,38900.0,3,18,32.758144,589.646592,Medium,Medium Quality Expensive
4671,La Crosse-Onalaska,29100.0,3,11,19.330778289780465,212.6385611875851,Medium,Medium Quality Less Expensive
4678,LaGrange,29300.0,3,1,10.99292183940361,10.99292183940361,Medium,Medium Quality Less Expensive
4689,Lafayette County,28140.0,3,1,18.928806,18.928806,Medium,Medium Quality Less Expensive
4692,Lafayette-West Lafayette,29200.0,3,24,21.160843195845445,507.86023670029067,Medium,Medium Quality Expensive
4695,Laguna Hills/Aliso Viejo,11244.0,3,56,31.931786,1788.180016,Medium,Medium Quality Expensive
4710,Lake Forest/Foothill Ranch/RSM,11244.0,3,64,29.724866,1902.391424,Medium,Medium Quality Expensive
4714,Lake Havasu City-Kingman,29420.0,3,20,18.099121329153594,361.98242658307186,Medium,Medium Quality Less Expensive
4716,Lake Mary,36740.0,3,58,21.723412,1259.957896,Medium,Medium Quality Expensive
4756,Landfall,48900.0,3,23,24.944255,573.717865,Medium,Medium Quality Expensive
4760,Landover/Largo/Captl Hts,47900.0,3,30,22.511869,675.35607,Medium,Medium Quality Expensive
4771,Lansing-East Lansing,29620.0,3,15,22.163256706477746,332.4488505971662,Medium,Medium Quality Expensive
4774,Laramie,29660.0,3,2,19.275268090182536,38.55053618036507,Medium,Medium Quality Less Expensive
4777,Laredo,29700.0,3,13,25.554462277788634,332.20800961125224,Medium,Medium Quality Expensive
4780,Las Cruces,29740.0,3,40,21.358188315640998,854.32753262564,Medium,Medium Quality Expensive
4784,Las Vegas-Henderson-Paradise,29820.0,3,44,22.97893383111553,1011.0730885690833,Medium,Medium Quality Expensive
4787,Laurel,29860.0,3,2,16.755966978759,33.511933957518,Medium,Medium Quality Less Expensive
4824,Leavenworth County,28140.0,3,7,19.149398,134.04578600000002,Medium,Medium Quality Less Expensive
4825,Lebanon,30060.0,3,1,21.12378704749305,21.12378704749305,Medium,Medium Quality Expensive
4839,Leeward,46520.0,3,7,40.397067,282.779469,Medium,Medium Quality Expensive
4850,Lely,34940.0,3,4,26.914111,107.656444,Medium,Medium Quality Expensive
4859,Lewisburg,30280.0,3,3,14.800835209421818,44.40250562826545,Medium,Medium Quality Less Expensive
4870,Lewisville,19100.0,3,106,24.596557,2607.2350420000002,Medium,Medium Quality Expensive
4878,Lexington-Fayette,30460.0,3,4,17.289742530077177,69.15897012030871,Medium,Medium Quality Less Expensive
4904,Lincoln,39300.0,3,21,19.715421,414.023841,Medium,Medium Quality Less Expensive
4912,Lincoln Park,16980.0,3,16,30.286975,484.5916,Medium,Medium Quality Expensive
4968,Lone Tree,19740.0,3,20,31.863357,637.26714,Medium,Medium Quality Expensive
4972,Long Beach: Downtown,31084.0,3,28,30.743829,860.827212,Medium,Medium Quality Expensive
4998,Loop 303/Surprise,38060.0,3,38,24.754938,940.687644,Medium,Medium Quality Expensive
5006,Los Alamos,31060.0,3,4,20.42743111934959,81.70972447739835,Medium,Medium Quality Expensive
5034,Lowell/Chelmsford,14460.0,3,115,20.107087,2312.315005,Medium,Medium Quality Expensive
5060,Lyndhurst/Landerhaven,17460.0,3,7,22.666119,158.66283299999998,Medium,Medium Quality Expensive
5064,Lynnfield/Wakefield,14460.0,3,20,24.363212,487.26424000000003,Medium,Medium Quality Expensive
5067,Lynnhaven,47260.0,3,24,20.355505,488.53212,Medium,Medium Quality Expensive
5097,Madison County,19780.0,3,1,22.027767,22.027767,Medium,Medium Quality Expensive
5112,Main Line,37980.0,3,25,29.930164,748.2541,Medium,Medium Quality Expensive
5123,Maitland Center,36740.0,3,36,22.575322,812.711592,Medium,Medium Quality Expensive
5140,Manatee Outlying,35840.0,3,17,27.670103,470.391751,Medium,Medium Quality Expensive
5150,Manchester/I-270,41180.0,3,17,23.126645,393.152965,Medium,Medium Quality Expensive
5153,Mandarin,27260.0,3,49,21.523139,1054.633811,Medium,Medium Quality Expensive
5167,Marco Island,34940.0,3,9,26.66385,239.97465,Medium,Medium Quality Expensive
5187,Marion County,16860.0,3,1,19.141815,19.141815,Medium,Medium Quality Less Expensive
5196,Market Street East,37980.0,3,19,28.202076,535.8394440000001,Medium,Medium Quality Expensive
5204,Marlborough,14460.0,3,35,21.778178,762.23623,Medium,Medium Quality Expensive
5208,Marlborough Outlying,25540.0,3,2,17.082782,34.165564,Medium,Medium Quality Less Expensive
5214,Marshall,32220.0,3,2,27.44109195690872,54.88218391381744,Medium,Medium Quality Expensive
5218,Marshalltown,32260.0,3,1,19.137292013294175,19.137292013294175,Medium,Medium Quality Less Expensive
5220,Martha Jefferson MF,16820.0,3,5,24.496271295689837,122.48135647844919,Medium,Medium Quality Expensive
5237,Mason/Montgomery,17140.0,3,40,20.752314,830.0925599999999,Medium,Medium Quality Expensive
5240,Mason/SE Ingham County,29620.0,3,3,16.495231,49.485693,Medium,Medium Quality Less Expensive
5243,Mat-Su Business Region,11260.0,3,10,25.934679,259.34679,Medium,Medium Quality Expensive
5244,Mathews County,47260.0,3,1,18.127166,18.127166,Medium,Medium Quality Less Expensive
5247,Matthews,16740.0,3,50,23.989929,1199.49645,Medium,Medium Quality Expensive
5274,McMinnville,32660.0,3,2,18.43651340031319,36.87302680062638,Medium,Medium Quality Less Expensive
5276,Meadow Park MF,40340.0,3,1,24.598801440000003,24.598801440000003,Medium,Medium Quality Expensive
